display_name,location,reputation
Stephen R.,"Chicago, IL",114
Justin,United States,2825
Geoff Dalgas,"Corvallis, OR",5762
Darren Kopp,"North Potomac, MD, USA",70477
saint_groceon,"Houston, TX",5847
Matt MacLean,"Calgary, Canada",17404
Eric Haskins,"Elkhorn, WI",8207
Rex M,United States,134021
Redbaron,Canada,1058
Yaakov Ellis,Israel,37570
MattH,United States,1947
Tom Grochowicz,"Austin, TX",4727
Teifion,"Wales, United Kingdom",96797
red,United States,684
Ian Burris,"West Bloomfield, Michigan United States",5719
Grant,Georgia,11387
ESRogs,,2153
Chad Paulson,"Chicago, IL",143
Dillie-O,"Prescott, AZ",27907
Marek Grzenkowicz,Poland,15859
Ryan Ahearn,"Baltimore, MD",7626
denny,"Winchester, VA",1481
sven,Belgium,17226
Eggs McLaren,,1787
Joe Fontana,United States,2148
Ryan Eastabrook,United States,3795
A Salim,Canada,1247
MojoFilter,"Crystal River, Florida United States",11611
Sneakers O'Toole,"Morganton, North Carolina United States",101
Jax,"Charlotte, NC, United States",6318
Chris Jester-Young,"Raleigh, NC, USA",204073
svrist,Denmark,6647
Karl Seguin,"Ottawa, Canada",20302
Bob,United States,89076
Michael Haren,Ohio,95928
Kevin,"Philadelphia, PA",12712
Ted Dziuba,California,2265
Tom,"Atlanta, GA",13440
Tim Boland,"Cincinnati, OH",9781
alumb,"Vancouver, Canada",4351
Zack Peterson,"Des Moines, Iowa, United States",52700
Mat,"London, United Kingdom",6376
Shawn,"San Francisco, CA",18229
helloandre,"San Francisco, CA, United States",9893
Kevin Dente,"Oakland, CA",22986
saniul,"London, United Kingdom",2973
Jarrod Dixon,"Raleigh, NC, United States",15296
Mads Kristiansen,"Denmark, Europe",2035
w-ll,"San Francisco, CA, United States",3717
Greg Hurlman,"Washington, DC",17177
Pete,"Delaware, OH",3833
Adam Ernst,"New York, NY",44426
Pat,"NC, United States",5210
Rodrigo Sieiro,"Uberlândia, Minas Gerais, Brazil",575
TimM,Alabama,1825
t3rse,United States,9672
Justin Standard,California,20911
xyz,,25180
Leon Bambrick,Australia,24325
Coincoin,"Montreal, Canada",25112
Liron Yahdav,"San Francisco, CA",8112
Bill,"Arnhem, Netherlands",13357
Community,on the server farm,1
huseyint,"Istanbul, Turkey",14392
Jeff Atwood,"El Cerrito, CA",60443
Jon Galloway,"San Diego, CA",49826
John,"Southampton, United Kingdom",26592
Louis Brandy,"Pittsburgh, PA",15856
doekman,"Groningen, Netherlands",17268
Ryan Fox,"Toronto, Ontario, Canada",9316
JimDaniel,"Atlanta, GA",11893
Peter Burns,"San Francisco, CA",41773
DylanJ,Germany,2125
sanmiguel,"London, United Kingdom",4042
cmcculloh,"Indianapolis, IN",43231
pix0r,"Carlsbad, CA, United States",30541
Michael Stum,"Raleigh, NC, United States",165965
Dave Ward,"Atlanta, GA",56636
Jason Pratt,"Pittsburgh, PA",11391
Chris Marasti-Georg,"Pittsburgh, PA",32264
svec,"Raleigh, NC, USA",3409
Joel Spolsky,"New York, NY",32298
Nick Berardi,"Issaquah, WA",52196
CodingWithoutComments,"Seattle, Washington United States",33170
Jonathan,"Minneapolis, Minnesota, United States",1265
Anonymous User,,4523
Bernard,"Auckland, New Zealand",43317
Wally Lawless,"Georgetown, Canada",7281
Paul Wicks,United States,54700
